collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,4,2024-03-23 00:00:00,Brassicaceae,Descrainia,sophia,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Yellow petals with matching yellow stamens and pistil. ,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,5,2024-03-23 00:00:00,Lamiaceae,Lamium,amplexicaule,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Purple colored flowers with unique pitcher-like shape and dots on modified portions of connate corolla.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,6,2024-03-23 00:00:00,Onagraceae,Oenothera,triloba,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Yellow petals with pollen-covered yellow stamens.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,7,2024-03-23 00:00:00,Apiaceae,Chaerophyllum,tainturieri,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,"Small white flower with brown mature anthers, light yellow immature anthers, and 2 green stigma.",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,8,2024-03-23 00:00:00,Gernaniaceae,Erodium,cicutarium,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Purple petals with purple androecium and gynoecium.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,9,2024-03-23 00:00:00,Papaveraceae,Corydalis,aurea,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,"Yellow, banana-shaped flowers with a brown spot towards top.",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,10,2024-03-23 00:00:00,Fabaceae,Cercis,canadensis,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Pink flowers with pink androecium and gynoecium.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,11,2024-03-23 00:00:00,Cyperaceae,Carex,,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,"Linear leaves, yellow-colored spikelets.",USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,12,2024-03-23 00:00:00,Urticaceae,Uritca,chamaedryoides,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Tiny white flowers with purple stem and stinging trichomes.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,13,2024-03-23 00:00:00,Verbenaceae,Verbena,,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Purple flowers with 5 petals.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,14,2024-03-23 00:00:00,Fabaceae,Medicago ,minima,,Rangeland with rocky soil and leaves covering ground by pecan forest and permanent body of water.,Pecan forest,Flowering,Wild,Bisexual,Tiny yellow flowers.,USA,Texas,Tom Green,Christoval,Knickerbocker Ranch,31.25421,-100.66093,616,meters
,15,2024-04-04 00:00:00,Lamiaceae,Salvia,texana,,"Rocky soil, very dry conditions.","Lots of Asteraceae, with some grasses, and sedges",Flowering,Wild,Bisexual,Herbaceous purple flowers with white lamina structure and orchid shape.,USA,Texas,Tom Green,San Angelo,MIR,31.50275,-100.49824,584,meters
,16,2024-04-04 00:00:00,Convolvulaceae,Convolvulus,equitans,,"Rocky soil, very dry conditions.","Lots of Asteraceae, with some grasses, and sedges",Flowering,Wild,Bisexual,"Herbaceous white flower with connate corolla, and inner circle with a reddish-purple color.",USA,Texas,Tom Green,San Angelo,MIR,31.50275,-100.49824,584,meters
,17,2024-04-04 00:00:00,Asteraceae,Gaillardia,,,"Rocky soil, very dry conditions.","Lots of Asteraceae, with some grasses, and sedges",Flowering,Wild,Bisexual,"Herbaceous plant with yellow petals, and red flowers in a head inflorescence with yellow star-shaped anthers.",USA,Texas,Tom Green,San Angelo,MIR,31.50275,-100.49824,584,meters
,18,2024-04-04 00:00:00,Malvaceae,Sphaeralcea,hastulata,,"Rocky soil, very dry conditions.","Lots of Asteraceae, with some grasses, and sedges",Flowering,Wild,Bisexual,Orange flower with inner circle of yellow. Orange androecium and gynoecium.,USA,Texas,Tom Green,San Angelo,MIR,31.50275,-100.49824,584,meters
,19,2024-04-09 00:00:00,Asteraceae,Carduus,,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering,Wild,Bisexual,Purple head inflorescence with yellow spines on connate sepals and buds.,USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,20,2024-04-09 00:00:00,Lamiaceae,Marrubium,vulgare,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering,Wild,Bisexual,White diamond-shaped flowers.,USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,21,2024-04-09 00:00:00,Fabaceae,Mimosa,aculeaticarpa,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering and fruiting,Wild,Bisexual,Shrub inflorescence long light pink filaments and yellowish-white anthers. Light green tepals.,USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,22,2024-04-09 00:00:00,Asteraceae,Gaillardia,,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering,Wild,Bisexual,Herbaceous plant with head inflorescence. Petals are red in color with yellow tips.,USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,23,2024-04-25 00:00:00,Rosaceae,Rhaphiolepis,indica,,Ornamental nature of placement. Rocks on top of soil to reduce weed growth.,"Trees and grasses about 10 m away, nothing directly next to plant",Flowering,Wild,Bisexual,"Shrub branch containing flowers with pinkish-white petals, white filaments, and pale-yellow anthers. ",USA,Texas,Tom Green,San Angelo,ASU Science Buildings,31.44035,-100.4646,581,meters
,24,2024-04-25 00:00:00,Asparegaceae,Yucca,arkansana,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,"Branch of inflorescence with pale yellowish-green tepals, white curled anthers, white stigma and style.",USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,25,2024-04-25 00:00:00,Onagraceae,Oenothera,speciosa,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,Pink veiny tepals with yellow ring inside.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,26,2024-04-25 00:00:00,Asteraceae,Cereopsis,tinctoria,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,Herbaceous plant with head inflorescence. Petals are yellow in color with red ring closer to inflorescence.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,27,2024-04-25 00:00:00,Malvaceae,Malva,,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering and fruiting,Wild,Bisexual,Tiny white flowers with white reproductive parts. Ripe fruits are a light brown color.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,28,2024-04-25 00:00:00,Verbenaceae,Verbena,halei,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,Herbaceous plant with spike inflorescence of light purple flowers.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,29,2024-04-25 00:00:00,Fabaceae,Melilotus,albus,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,White curved pendulum flowers in a raceme inflorescence.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,30,2024-04-25 00:00:00,Ranunculaceae,Delphinium,ajacis,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,Terminal raceme inflorescence. Purple and white flowers with modified inner whorl of tepals that mostly wrap around reproductive structures. Flowers are trumpet-shaped.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,31,2024-04-29 00:00:00,Bignoniaceae,Chilopsis,linearis,,Ornamental arrangement in grass on apartment building next to mailboxes.,Grass,Flowering,Cultivated,Bisexual,Purplish-pink cup-like flowers arranged in whorls of 3 in terminal inflorescence.,USA,Texas,Tom Green,San Angelo,River Ranch Apartments,31.42554,-100.45129,563,meters
,32,2024-04-30 00:00:00,Asparegaceae,Hesperaloe,parviflora,,Ornamental plant box on college campus,Only other Hesperaloe parviflora,Flowering and fruiting,Cultivated,Bisexual,Branch of pink panicle inflorescence of pendulum pink flowers. ,USA,Texas,Tom Green,San Angelo,Porter Henderson Library,31.44061,-100.46536,581,meters
,33,2024-04-30 00:00:00,Caprifoliaceae,Abelia ,× grandiflora,,Ornamental area outside campus building,"Weeds, grass and trees within 25 m ",Flowering,Cultivated,Bisexual,"Pale pinkish-white flowers with pinkish-white anthers, and white filaments. Leaves are waxy and medium green with reticulate venation.",USA,Texas,Tom Green,San Angelo,ASU Cavness building,31.44044,-100.46401,581,meters
,34,2024-04-30 00:00:00,Brassicaeae,Lepidium,ruderale,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering and fruiting,Wild,Bisexual,Micro-sized white flowers. Fruits are light brown in color.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,35,2024-04-30 00:00:00,Poaceae,Lolium ,perenne,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering,Wild,Bisexual,Green spikelets.,USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,36,2024-04-30 00:00:00,Poaceae,Bromus,,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Fruiting,Wild,Bisexual,"Red stem, and yellowish-brown spikelets.",USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,37,2024-04-30 00:00:00,Poaceae,Hordeum,murinum,,Wildflower field on a college campus.,"Multiple wild flowers, including plants in Asteraceae, Asparegaceae, Fabaceae, etc.",Flowering and fruiting,Wild,Bisexual,"Lower on inflorescence had green spikelets, towards apical portion the color shifts from green to whiteish-yellow.",USA,Texas,Tom Green,San Angelo,ASU Campus Green,31.4391,-100.46215,581,meters
,38,2024-04-30 00:00:00,Aquifoliaceae,Ilex,canariensis,,Grassy area between dorm halls,Grass,Flowering,Cultivated,Bisexual,Tree branch green in color with tiny white flowers in axial to leaves.,USA,Texas,Tom Green,San Angelo,ASU Texan Hall,31.43823,-100.45653,581,meters
,1,2024-03-11 00:00:00,Geranium,Erodium,texanum,,Semi-arid Shrubland on flat hilltop,"Prickly pear, Mequite, Mulberry, Cedar",Flowering,,Bisexual,Purple flowers,US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.483,-100.523,,
,2,2024-03-11 00:00:00,Asteraceae,Tetraneuris,scaposa,,Semi-arid Shrubland on flat hilltop,"Prickly pear, Mequite, Mulberry, Cedar",Flowering,,Bisexual,Yellow Flower,US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.483,-100.523,,
,3,2024-03-11 00:00:00,Ephedraceae,Ephedra,Ephedraceae,,Semi-arid Shrubland on flat hilltop,"Prickly pear, Mequite, Mulberry, Cedar",Flowering,,Male,Cone,US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.483,-100.523,,
,4,2024-03-16 00:00:00,Verbenaceae,Glandularia,bipinnatifida,,"Found along a draw, clay-loam soil","Oak, mesquite, prickly pear, ephedra, poacea",Flowering,,Bisexual,"Purple flowers, leaves are lobed, flowers form a cyme on top",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.534,-100.537,,
,5,2024-03-16 00:00:00,Poaceae,Hordeum,jubatum,,"Along creek-bed in heavy shade by oak or mesquite trees, formed in clusters/carpet of the same species","Oak, mesquite, prickly pear, ephedra",Flowering,,Bisexual,"Spike inflorescence with inflorescence partially sheathed, florets have long singular awns off of the tips",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.534,-100.538,,
,6,2024-03-16 00:00:00,Verbenaceae,Aloysia,gratissima,,"In area with barespots, grows in thickets along with other brush","Ephedra, Mesquite, Wolfberry, Algerita",Flowering,,Bisexual,"Long thin branches that carry small leaves, the main axis of inflorescence comes out of a whorl on the brunch coming out with a spiked infloresnce, shurb 5-7 feet tall",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.54,-100.522,,
,,,,,,,,,,,,,,,,,,,,,
,7,2024-03-21 00:00:00,Solanaceae,Solanum,Triquetrum,,"In dense brush, clay-loam soil","White-brush, Mesquite",Flowering,,Bisexual,"Cyme inflorescence, long and tall herb 1-2 feet, small leaves with a wide base curved into an obtuse apex",US,Texas,Tom Green,San Angelo,Lake Nastworthy,31.377,-100.534,,
,8,2024-03-21 00:00:00,Solanaceae,Quincula,lobata,,"Lawn of ASU, in full sun",Poaceae,Flowering,,Bisexual,"Short <3"" tall with 5 fused petals and prominent anthers in a purple flower  ",US,Texas,Tom Green,San Angelo,ASU Campus,31.441,-100.463,,
,9,2024-03-22 00:00:00,Malvaceae,Callirhoe,involucrata,,"Along river bank, in shade","Post-oak, greenbriar, foxtail barely",Flowering,,Bisexual,"Fused purple petal, white center of the petals with spike flowers that are very prominent",US,Texas,Tom Green,San Angelo,Bald Eagle Creek,31.528,-100.544,,
,10,2024-03-22 00:00:00,Hydrophylloideae,Nemophila,phacelioides,,"Under post-oak, along creek, clay-loamsoil","Post-oak, greenbriar, foxtail barely",Flowering,,Bisexual,5 light blue petals with a white/faded blue center,US,Texas,Tom Green,San Angelo,Bald Eagle Creek,31.528,-100.545,,
,11,2024-03-22 00:00:00,Fumariaceae,Corydalis,aurea,,"Under post-oak, along creek, clay-loam soil","Post-oak, greenbriar, foxtail barely",,,Bisexual,Bright yellow flowers ina  spiked inflorence that are about 1-1 and a half inches long,US,Texas,Tom Green,San Angelo,Bald Eagle Creek,31.528,-100.545,,
,12,2024-03-22 00:00:00,Malvaceae,Sphaealcea,ambigua,,Along edge of lake with heavy brush,"Greenbriar, mesquite, cedar",Flowering,,Bisexual,Spiked infloresence with leaves alternating between flowers and stems,US,Texas,Tom Green,San Angelo,Lake Nastworthy,31.377,-100.533,,
,13,,,,,,,,,,,,US,Texas,Tom Green,San Angelo,O.C Fisher Basin,,,,
,14,2024-03-23 00:00:00,Brassicaceae,Descurainia,pinnata,,"Along perennial stream, under oak and pecan trees","Oaks, poaceae, ",Flowering,,Bisexual,"Long herb with a upright stem 1 1/2 ft tall with raceme inflorescence, flowers can come out before the apex, but most flowers found at the top in a congested bunch,. 3 stamens stick out",US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.657,,
,15,2024-03-23 00:00:00,Fabaceae,Cercis,canadensis,,"Edge of dove creek, on a steep and eroded slope","Cactus, poaceae, and vines",Flowering,,Bisexual,Large tree with bright pink flower,US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.657,,
,16,2024-03-23 00:00:00,Onagraceae,Onothera,triloba,,"Bottom of the creek bed, near water",Poaceae,Flowering,,Bisexual,1 large solitary yellow flower with long stamens and a large centrla stigma,US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.657,,
,17,2024-03-23 00:00:00,Lamiaceae,Marubium,vulgare,,"Alongcreek, deep soil, ranged from under mesquite, to under oaks in partial shade",Formed a monoculture,Flowering,,Bisexual,Alternating leaves in a fan-shape. White flowers in a verticillaster inflorescence,US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.658,,
,18,2024-03-23 00:00:00,Asteraceae,Erigeron,divergens,,"On rocky, moist soil","White horehound, dandelions",Flowering,,Bisexual,"Small pink tinged petals, solitary flower with a yellow center",US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.658,,
,19,2024-03-23 00:00:00,Cyperaceae,Eleocharis,spp.,,"Middle of the stream on rocks, sticking through the rocks",Nothing,Flowering,,Bisexual,"Small inflorescence, compact and spikey",US,Texas,Tom Green,Knickerbocker,Dove Creek,31.256,-100.658,,
,20,2024-04-06 00:00:00,Verbenaceae,Glandularia,canadensis,,"Sandy soil, surrounded by other vervina, located near a pool of water","Poaceae, Oak trees",Flowering,,Bisexual,"2 branches of purple inflorescence, synpetalous with 5 petals, anthers bright and yellow, hypogenous ovary",US,Texas,Mason,Fredonia,Willow Creek Watershed,30.838,-99.122,,
,21,2024-04-06 00:00:00,Fabaceae,Lupinus,texenis,,"Roadside ditch, sandy soil, next to culvert","Indian paintbrushes, and blankets",Flowering,,Bisexual,"Blue petals, petals at the top of the herb, raceme inflorescene with white petals finishing the top of the plant",US,Texas,Mason,Fredonia,Willow Creek Watershed,30.837,-99.121,,
,22,2024-04-06 00:00:00,"Divisive, either Scorphulariaceae or Orobanchaceae",Castilleja,indivisa,,"Roadside ditch, sandy soil, next to culvert",Bluebonnets and other flowers,Flowering,,Bisexual,"Bright red petals with a spike inflorescence in alternating patterns, small annual herb",US,Texas,Mason,Fredonia,Willow Creek Watershed,30.837,-99.122,,
,23,2024-04-11 00:00:00,Tamaricaceae,Tamarisk,ramosissima,,"Alongside path of where water would run with rainfall, shallow soils","More of the tree, grew in bunches, mesquite present",Flowering,,Bisexual,"Pink spike inflorescence on edge of the top-most branches, 6-10 feet in height, grows in bunches with similar plants, scale-like leaves, NOT a cedar",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.502,-100.498,,
,24,2024-04-11 00:00:00,Acanthaceae,Rhus,microphylla,,"Clay loam soil, top of hill","Ephedra, Mesquite, Grasses and weeds around it, found on top of small hill alongside #26",Flowering,,Bisexual,"Infloresence found on edge of branches, habit is a wide shrub with about 5 feet of height, small leaves, bipinatte compound",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.502,-100.499,,
,25,2024-04-11 00:00:00,Solanaceae,Chamesaracha,villosa,,"Eroded shallow soil in a draw, rocky, in shade underneath mesquite","Mesquite trees, poaceae, ",Flowering,,Bisexual,"White spike inflorescence, flower in shape with Solanaceae, 5 petals with nightshade leaf shape, serrated with soft texture family",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.502,-100.498,,
,26,2024-04-11 00:00:00,Brassicaceae,Lepidium,virginicum,,"Clay loam soil, top of hill","Mesquite trees, poaceae, ",Fruit,,Bisexual,"Raceme inflorescence, Low growing herb, fruits form a ball with a single awn coming out",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.502,-100.499,,
,27,2024-04-14 00:00:00,Polygalaceae,Polygala,alba,,"Sprouting from between 2 rocks, alongside trail","Prickly pear, Mesquite",Flowering,,Bisexual,"Raceme inflorescence with many small white flowers at the end of long stems, long and slender with about 1 and half feet of height",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.511,-100.553,,
,28,2024-04-14 00:00:00,Amaryllidaceae,Allium,drummondii,,On bare/exposed soil. Can be found in shade or bases of prickly pear and other brush,"Prickly pear, white brush, juniper",Flowering,,Bisexual,"Small slender stem, corymb inflorescence with small white  flowers with a purple fringe, 6 petals, 6 stamens. Fragrant bulb underneath soil",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.503,-100.536,,
,29,2024-04-14 00:00:00,Amaryllidaceae,Allium,textile,,On bare/exposed soil. Can be found in shade or bases of prickly pear and other brush,"Prickly pear, white brush, juniper",Flowering,,Bisexual,"Small slender stem, corymb inflorescence with small white  flowers, 6 petals, 6 stamens. Fragrant bulb underneath soil",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.503,-100.536,,
,30,2024-04-14 00:00:00,Plantagnaceae,Penstemon,,,"In creek bed, on rocky and exposed portion",Poaceae,Flowering,,Bisexual,"5 fused white petals, bilateral, one petal elongated on the flower",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.512,-100.553,,
,31,2024-04-14 00:00:00,Scorphulariaceae,Leucophyllum,frutescens,,"On top of rocky ridgelines, surrounded and shaded by other brush","Mesquite, Cactus, Ephedra, Tasjillo",Flowering,,Bisexual,"5 petals with one very long stigma coming out of the flower, small light green/silver leaves",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.48,-100.522,,
,32,2024-04-14 00:00:00,Fabaceae,Mimosa,biuncifera,,"Rocky soils, usually separate from other brush","Poaceae, Cactus, Juniper",Flowering,,Bisexual,"Compact spike inflorescence with very long pink stamens and yellow nectar on the tips of the stamens, leaves bipinnat ewith recurve shaped thorns",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.48,-100.524,,
,33,2024-04-14 00:00:00,Linaceae,Linum,rigidum,,"Rocky, sandy soil on eroding part of the hill","Mesquite trees, juniper, white bursh",Flowering,,Bisexual,"Solitary Flower, 5 separated petals with 5 stamens, yellow edges of petals, burnt orange on the inner petal",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.484,-100.539,,
,34,2024-04-14 00:00:00,Apiaceae,Lomatium,,,Underneath cactus in clay-loam soil,"Prickly pear, poaceae, asteraceae",Fruit,,Bisexual,"Fruit is formed into seeds that are 4 winged, with white on the outside and a dark brown/purple on the inner planes arranged in a compound umbel",US,Texas,Tom Green,San Angelo,O.C Fisher Basin,31.511,-100.553,,
,35,2024-04-25 00:00:00,Asteraceae,Gaillardia,pulchella,,Shallow sandy-loam soil,"Poaceae, other asteraceae",Flowering,,Bisexual,"Yellow tinged ray flowers with a mostly red petal, disk flowers are prominent and present above the ray flowers. One solitary inflorescnce",US,Texas,Tom Green,Grape Creek,MIR,31.526,-100.542,,
,36,2024-04-25 00:00:00,Solanaceae,Solanum,elaeagnifolium,,"Clay-loam soil, full sun with no trees or covering shade around","Poaceae, verbanaceae",Flowering,,Bisexual,Purple 5 petaled flowers with long stamens,US,Texas,Tom Green,Grape Creek,MIR,31.532,-100.533,,
,37,2024-04-25 00:00:00,Poaceae,Setaria,reverchonii,,Shallow clay-loam soil,Poaceae,Fruit,,Bisexual,"Raceme inflorescence, tall singular stem with the florets on the end.",US,Texas,Tom Green,Grape Creek,MIR,31.523,-100.541,,
,38,2024-04-25 00:00:00,Plantaginaceae,Plantago,rhodosperma,,Often found in bare clay-loam rocky soil and disturbed soil sites,Poaceae,Fruit,,Bisexual,Seeds are attached as sessiles in alternating patterns on one central axis,US,Texas,Tom Green,Grape Creek,MIR,31.523,-100.541,,
,39,2024-04-25 00:00:00,Asteraceae,Engelmannia,peristenia,,Rocky soil in drainage ditch on the roadside,Other plants of the same species,Flowering,,Bisexual,"Yellow flowers in a corymb inflorescence, ray flowers form 8 petals",US,Texas,Tom Green,Grape Creek,MIR,31.534,-100.535,,
,40,2024-04-25 00:00:00,Cannabaceae,Celtis,laevigata,,"On clay-loam soils, alongside creeks or where water is in more abundance","Oaks, poaceae, mesquite",Fruit,,Bisexual,"Tree with alternate compound leaves, fruit is found at the axillary bud locations on these compound leaves",US,Texas,Tom Green,Grape Creek,MIR,31.529,-100.54,,
,41,2024-04-25 00:00:00,Berbidicieae,Berberis,trifoliolata,,"Shallow rocky soils, grows near other shrubs","Mesquite, Wolfberry, Hackberry",Fruit,,Bisexual,"A shrub that has 3 leaves growing on the end of a pedicel, leaf is long and silvery with 3 distinct points. Fruit is bright red and circular",US,Texas,Tom Green,Grape Creek,MIR,31.533,-100.536,,
,42,2024-04-25 00:00:00,Poaceae,Nassella,leucotricha,,"Low dips in ground or where water gathers, clay soils",Other poaceae and low growing plants,Flowering,,Bisexual,Spike inflorescence with long singular awns longer than 1 inch,US,Texas,Tom Green,Grape Creek,MIR,31.532,-100.536,,
,43,2024-04-26 00:00:00,Poaceae,Calamagrostis,,,"Deep soils, next to creek, undershade of oak trees",Monoculture underneath oak trees,Fruit,,Bisexual,"Raceme infloresnce, florets are split in the middle and form 2 awns, very heavy infloresence at the end of one singular stem",US,Texas,Tom Green,Grape Creek,MIR,31.521,-100.547,,
,1,2024-03-21 00:00:00,Cupressaceae,Cupressus ,arizonica ,,Desert Area with hills and trees ,,Cones ,wild ,female ,Brown cones with awl like leaves,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,3,2024-03-21 00:00:00,,,,,Desert Area with hills and trees ,,Flowers ,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,4,2024-03-23 00:00:00,,,,,Aquatic with grass,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Knickerbocker ranch ,31.317333 N,100.43625 W,1844,ft 
,5,2024-04-04 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,ASU MIR,,,1844,ft 
,6,2024-04-04 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,ASU MIR,,,1844,ft 
,7,2024-04-04 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,ASU MIR,,,1844,ft 
,8,2024-04-04 00:00:00,,Brassica,junea,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,ASU MIR,,,1844,ft 
,9,2024-04-11 00:00:00,,Aphanostephus,skirrhobasis,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N,97.3800 W,1844,ft 
,10,2024-03-21 00:00:00,,Baileya,multiradiata,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,36.6831 N,97.3800 W,1844,ft 
,12,2024-04-11 00:00:00,,,,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N,97.3800 W,1844,ft 
,13,2024-04-11 00:00:00,,,,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N,97.3800 W,1844,ft 
,14,2024-04-11 00:00:00,poaceae,Polypogon,viridis,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N ,97.3800 W,1844,ft 
,15,2024-04-11 00:00:00,,polytaenia,nuttallii,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N ,97.3800 W,1844,ft 
